Concept Level 1,CCSS Standard,Question UID,Answers,Prompt
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJX,"[{""text""=>""The class president {will be elected} by the student body at the end of the week.""}]",The class president <u>to be elected</u> by the student body at the end of the week.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJY,"[{""text""=>""The bridge {will be crossed} by cars tomorrow morning.""}]",The bridge <u>to be crossed</u> by cars tomorrow morning.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJZ,"[{""text""=>""That amazing lunch {was cooked} by Tom yesterday.""}]",That amazing lunch <u>to be cooked</u> by Tom yesterday.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJ_,"[{""text""=>""{The race was won by me}.""}]",I won the race.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJa,"[{""text""=>""{The pizza was bought by me}.""}]",I bought the pizza.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJb,"[{""text""=>""{The room was cleaned by my mother}.""}]",My mother cleaned the room.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJc,"[{""text""=>""{A letter was slipped under my door by someone}.""}]",Someone slipped a letter under my door.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJd,"[{""text""=>""{The trash will be taken out by Sally}.""}]",Sally will take out the trash.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJe,"[{""text""=>""{The roof was climbed onto by Alex}.""}]",Alex climbed onto the roof.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJf,"[{""text""=>""{The test will be taken by Shirley}.""}]",Shirley will take the test.
Active and Passive Voice,8.1b. Form and Use Verbs in the Active and Passive Voice,Jzw0qjJeHLqN6eDQTJg,"[{""text""=>""{The lightbulb was invented by Thomas Edison}.""}]",Thomas Edison invented the lightbulb.
Adjectives,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJi,"[{""text""=>""I am really {fast} when I run.""}]",I am really <u>fast / fastly</u> when I run.
Adjectives,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJj,"[{""text""=>""The {quiet} mouse scampered through the field.""}]",The <u>quietly</u> mouse scampered through the field.
Adjectives,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJk,"[{""text""=>""Toucans have very {colorful} beaks.""}]",Toucans have very <u>colorfully</u> beaks.
Adjectives,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJl,"[{""text""=>""The beaches of the British Virgin Isles are {gorgeous}.""}]",The beaches of the British Virgin Isles are <u>gorgeously</u>.
Adjectives,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJm,"[{""text""=>""I heard that Dolphins are {clever}.""}]",I heard that Dolphins are <u>cleverly</u>.
Adjectives,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJn,"[{""text""=>""I admit that I was {wrong}.""}]",I admit that I was <u>wrongly</u>.
Adjectives,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJo,"[{""text""=>""My dog licked the {cold} water off the tiles.""}]",My dog licked the <u>coldly</u> water off the tiles.
Adjectives,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJp,"[{""text""=>""{My brother is really smart}.""}]",My brother is really <u>smart / smartly</u>.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJr,"[{""text""=>""Madeline {loudly} slammed the door shut.""}]",Madeline <u>loud / loudly</u> slammed the door shut.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJs,"[{""text""=>""Brian caught my attention as he laughed {boisterously}.""}]",Brian caught my attention as he laughed <u>boisterously / boisterous</u>.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJt,"[{""text""=>""She {quietly} sat for hours without saying anything.""}]",She <u>quiet / quietly</u> sat for hours without saying anything.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJu,"[{""text""=>""Casey {bluntly} pointed out the mistake I made.""}]",Casey <u>blunt / bluntly</u> pointed out the mistake I made.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJv,"[{""text""=>""The servant {meekly} poured tea for everyone.""}]",The servant <u>meek / meekly</u> poured tea for everyone.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJw,"[{""text""=>""My cousin {haphazardly} threw his clothes on the floor.""}]",My cousin <u>haphazardly / haphazard</u> threw his clothes on the floor.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,K0bbXJ3VcaJCm2wvf57,"[{""text""=>""My dog {sheepishly} put the ball in my lap.""}]",My dog <u>sheepish / sheepishly</u>  put the ball in my lap.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJy,"[{""text""=>""The exam weighed {heavily} on our minds.""}]",The exam weighed <u>heavy</u> on our minds.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTJz,"[{""text""=>""He {messily} threw his clothes on the floor.""}]",He <u>messy</u> threw his clothes on the floor.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK-,"[{""text""=>""She {happily} jumped around.""}]",She <u>happy</u> jumped around.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK0,"[{""text""=>""He {angrily} threw his newspaper onto the lawn.""}]",He <u>angry</u> threw his newspaper onto the lawn.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,K0bgcJ5L8FKuhM6Q5i2,"[{""text""=>""I always answer {honestly} when given a question.""}]",I always answer <u>honest</u> when given a question.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK2,"[{""text""=>""He {rudely} burped in front of everybody.""}]",He <u>rude</u> burped in front of everybody.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK3,"[{""text""=>""The girls {safely} made it home.""}]",The girls <u>safe</u> made it home.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK4,"[{""text""=>""The puppy {adorably} wagged its tail.""}]",The puppy <u>adorable</u> wagged its tail.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK5,"[{""text""=>""She {gently} picked the painting up.""}]",She <u>gentle</u> picked the painting up.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,K0bflTzUKwwnnM0RSZw,"[{""text""=>""Tom ironed his shirt because it was {wrinkly}.""}]",Tom ironed his shirt because it was <u>wrinkle</u>.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,K0bfy3gbwbtUNtzmpY4,"[{""text""=>""Denise's thesis was {arguably} the most well written.""}]",Denise's thesis was <u>arguable</u> the most well written.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,K0bg4bI_0wx1viiPj82,"[{""text""=>""James {accurately} impersonated Stephen Colbert.""}]",James <u>accurate</u> impersonated Stephen Colbert.
Adjectives to Adverbs,2.1e. Use Adjectives and Adverbs,K0bgC4tn5EdPjX3Ico5,"[{""text""=>""Be careful eating that fish, it is full of {bones}.""}, {""text""=>""Be careful eating that fish, it is full of {bone}.""}]","Be careful eating that fish, it is full of <u>boney</u>."
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK7,"[{""text""=>""Mrs. Reid {carefully} placed the vase near the window.""}]",Mrs. Reid <u>careful</u> placed the vase near the window.
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK8,"[{""text""=>""The long play dragged on {endlessly}.""}]",The long play dragged on <u>endless</u>.
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTK9,"[{""text""=>""\""The gruff old man {coarsely} said, \""Thank you,\"" and then left.\""""}]","The gruff old man <u>coarse</u> said, ""Thank you,"" and then left."
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTKA,"[{""text""=>""Carol {thoroughly} checked over every last detail.""}]",Carol <u>thorough</u> checked over every last detail.
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTKB,"[{""text""=>""The rat {silently} disappeared without a trace.""}]",The rat <u>silent</u> disappeared without a trace.
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTKC,"[{""text""=>""That was a very {nicely} cooked meal.""}]",That was a very <u>nice</u> cooked meal.
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTKD,"[{""text""=>""My dog {sloppily} licked the food from her dog bowl.""}]",My dog <u>sloppy</u> licked the food from her dog bowl.
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTKE,"[{""text""=>""She {sleepily} turned off her alarm clock.""}]",She <u>sleepy</u> turned off her alarm clock.
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTKF,"[{""text""=>""The plane flew {swiftly} into the night.""}]",The plane flew <u>swift</u> into the night.
Adverbs,2.1e. Use Adjectives and Adverbs,Jzw0qjJeHLqN6eDQTKG,"[{""text""=>""You {simply} flip the switch and it turns on.""}]",You <u>simple</u> flip the switch and it turns on.
"Although, All Though",4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA7y,"[{""text""=>""{Although} we studied common spelling mistakes, some of us still write \""all though.\""""}]","_____ we studied common spelling mistakes, some of us still write ""all though."""
"Although, All Though",4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA7z,"[{""text""=>""I am pretty sure that's true, {although} I could be wrong.""}]","I am pretty sure that's true, _____ I could be wrong."
"Although, All Though",4.1g. Commonly Confused Words,K2wvXHUl3rF0Ht4wJa1,"[{""text""=>""{Although} it was raining hard, the mail was still delivered.""}]","________ it was raining hard, the mail was still delivered."
"Bare, Bear",4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA80,"[{""text""=>""Children have a tendency to {bare} all their secrets to anybody who will listen.""}]",Children have a tendency to _____ all their secrets to anybody who will listen.
"Bare, Bear",4.1g. Commonly Confused Words,K2wuI6LgxR23j9om66N,"[{""text""=>""If you don't put sunscreen on your {bare} arms, you could get a sunburn.""}]","If you don't put sunscreen on your bare / bear arms, you could get a sunburn."
"Bare, Bear",4.1g. Commonly Confused Words,K2wuVn7Qhj-UQmfZHEI,"[{""text""=>""Before painting my front door, it looked very {bare}.""}]","Before painting my front door, it looked very bare / bear."
"Bare, Bear",4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA82,"[{""text""=>""Don't make any loud noises, I think there is a {bear} in the car.""}]","Don't make any loud noises, I think there is a _____ in the car."
"Bare, Bear",4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA83,"[{""text""=>""If you work at something long enough, your labor will eventually {bear} fruit.""}]","If you work at something long enough, your labor will eventually _____ fruit."
"Bare, Bear",4.1g. Commonly Confused Words,K2xWX0pZs7IbFia9OV7,"[{""text""=>""Common advice is to never get between a mother {bear} and her cub.""}]",Common advice is to never get between a mother _____ and her cub.
"Breath, Breathe",4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA85,"[{""text""=>""As he continued the race, his {breath} became more ragged.""}]","As he continued the race, his ______ became more ragged."
"Breath, Breathe",4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA86,"[{""text""=>""The rabbit's {breath} was visible in the night air.""}]",The rabbit's _____ was visible in the night air.
"Breath, Breathe",4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA87,"[{""text""=>""Before you go into an interview, it's a good idea to take a deep {breath}.""}]","Before you go into an interview, it's a good idea to take a deep ______."
Can't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjK-hugkBcgfA89,"[{""text""=>""I {can't} eat any more pie.""}]",I <u>can not</u> eat any more pie.
Can't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjK-hugkBcgfA8A,"[{""text""=>""He {can't} make this shot.""}]",He <u>can not</u> make this shot.
Can't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjK-hugkBcgfA8B,"[{""text""=>""I {can't} come into work today because I feel sick.""}]",I <u>can not</u> come into work today because I feel sick.
Can't,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjK-hugkBcgfA8C,"[{""text""=>""In space, you {can't} pour coffee into a cup like you can here.""}]","In space, you <u>can not</u> pour coffee into a cup like you can here."
Cannot,4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA8E,"[{""text""=>""I {cannot} believe how cool physics is.""}]",I _____ believe how cool physics is.
Cannot,4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA8F,"[{""text""=>""This book {cannot} get any more tense.""}]",This book _____ get any more tense.
Cannot,4.1g. Commonly Confused Words,Jzw0qjK-hugkBcgfA8G,"[{""text""=>""It is better to write \""{cannot}\"" in formal essays, rather than \""can't\"".""}]","It is better to write ""_____"" in formal essays, rather than ""can't""."
Capitalize Addresses,4.2a. Use Correct Capitalization,Jzw0qjK-hugkBcgfA8I,"[{""text""=>""Sandy is now living at 221B {Baker St.} in {London}.""}]",Sandy is now living at 221B baker st. in london.
Capitalize Addresses,4.2a. Use Correct Capitalization,Jzw0qjK-hugkBcgfA8J,"[{""text""=>""The {Mauna Kea} observatories have helped us map out the stars.""}]",The mauna kea observatories have helped us map out the stars.
Capitalize Addresses,4.2a. Use Correct Capitalization,Jzw0qjK-hugkBcgfA8K,"[{""text""=>""My friend is living on 138 {Fletcher Street} in {Sydney Australia}.""}]",My friend is living on 138 fletcher street in sydney australia.
Capitalize Addresses,4.2a. Use Correct Capitalization,Jzw0qjK-hugkBcgfA8L,"[{""text""=>""Many cities have a {Main Street} or a {First Street}.""}]",Many cities have a main street or a first street.
Capitalize Addresses,4.2a. Use Correct Capitalization,Jzw0qjK-hugkBcgfA8M,"[{""text""=>""Deliver the package at 21 {First Street}.""}]",Deliver the package at 21 first street.
Capitalize Addresses,4.2a. Use Correct Capitalization,Jzw0qjK-hugkBcgfA8N,"[{""text""=>""We will move from 1321 {Fulton Avenue} to 1503 {College Street}.""}]",We will move from 1321 fulton avenue to 1503 college street.
Capitalize Addresses,4.2a. Use Correct Capitalization,Jzw0qjK-hugkBcgfA8O,"[{""text""=>""Many cities have a {Main Street} or a {First Street}.""}]",Many cities have a main street or a first street.
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8Q,"[{""text""=>""'{\""My Paper\""} is not an acceptable title for your paper.'""}]","""my paper"" is not an acceptable title for your paper."
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8R,"[{""text""=>""Many children know the old rhyme, {\""Ring Around the Rosie.\""}""}]","Many children know the old rhyme, <u>""ring around the rosie / Ring Around the Rosie.""</u>"
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8S,"[{""text""=>""Who wrote {\""The Catcher in the Rye?\""}""}]","Who wrote ""the catcher in the rye?"""
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8T,"[{""text""=>""My favorite movie is {\""Gone with the Wind.\""}""}]","My favorite movie is ""gone with the wind."""
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8U,"[{""text""=>""The acting troupe calls themselves {\""The Old Boys.\""}""}]","The acting troupe calls themselves ""the old boys."""
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8V,"[{""text""=>""'\""{Charlotte's Web}\"" has a sad ending.'""}]","""charlotte's web"" has a sad ending."
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8W,"[{""text""=>""'{\""Stuart Little\""} may be the most famous mouse book.'""}]","""Stuart little"" may be the most famous mouse book."
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8X,"[{""text""=>""Have you read \""{How to Eat Fried Worms}?\""""}]","Have you read ""how To eat fried worms?"""
Capitalize Appropriate Words in Titles,3.2a. Capitalize Words in Titles,Jzw0qjK-hugkBcgfA8Y,"[{""text""=>""'{\""A Wrinkle in Time\""} is one of my favorite books.'""}]","""A wrinkle In time"" is one of my favorite books."
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8_,"[{""text""=>""She'll be better by {October}.""}]",She'll be better by <u>october / October</u>.
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8a,"[{""text""=>""My grandmother was born on {Tuesday, June 2nd, 1970}.""}]","My grandmother was born on <u>tuesday, june 2nd, 1970 / Tuesday, June 2nd, 1970</u>."
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8b,"[{""text""=>""Our parents were married on {April} 20th.""}]",Our parents were married on april 20th.
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8c,"[{""text""=>""She will have a new car by {November} 14th.""}]",She will have a new car by november 14th.
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8d,"[{""text""=>""Her fractured arm might heal in {August}.""}]",Her fractured arm might heal in august.
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8e,"[{""text""=>""Do we graduate on {May} 25th?""}]",Do we graduate on may 25th?
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8f,"[{""text""=>""I start my diet on {January} 1st.""}]",I start my diet on january 1st.
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8g,"[{""text""=>""A baseball team from Japan will play a match with us in {April}.""}]",A baseball team from Japan will play a match with us in april.
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8h,"[{""text""=>""If we win the match on {Friday}, we will play again next week.""}]","If we win the match on friday, we will play again next week."
Capitalize Dates,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA8i,"[{""text""=>""Our class valedictorian was first to graduate on {May} 21st.""}]",Our class valedictorian was first to graduate on may 21st.
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8k,"[{""text""=>""The man bravely decided to travel up the {Amazon River}.""}]",The man bravely decided to travel up the amazon river.
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8l,"[{""text""=>""Is the {Nile} the longest river?""}]",Is the nile the longest river?
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8m,"[{""text""=>""The {Marianas Trench} is deep.""}]",The marianas trench is deep.
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8n,"[{""text""=>""{Russia} is a big country.""}]",russia is a big country.
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8o,"[{""text""=>""This is where the {Egyptian} civilization began.""}]",This is where the egyptian civilization began.
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8p,"[{""text""=>""You should acquire a travel visa if you want to go to {Scotland}.""}]",You should acquire a travel visa if you want to go to scotland.
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8q,"[{""text""=>""The {Silk Road} passes through the {Gobi Desert}.""}]",The silk road passes through the gobi desert.
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8r,"[{""text""=>""Have you ever been to the {Himalayas}?""}]",Have you ever been to the himalayas?
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8s,"[{""text""=>""Some people have skied in {Antarctica}.""}]",Some people have skied in antarctica.
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8t,"[{""text""=>""Every year, my family and I go skiing in {Idaho}.""}]","Every year, my family and I go skiing in idaho."
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8u,"[{""text""=>""One day, I am going to live in {Sacramento, California}.""}]","One day, I am going to live in sacramento, california."
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8v,"[{""text""=>""Have you ever been to {London} before?""}]",Have you ever been to <u>london / London</u> before?
Capitalize Geographic Names,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8w,"[{""text""=>""I want to visit {Florida}.""}]",I want to visit <u>florida / Florida</u>.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8y,"[{""text""=>""How many countries celebrate {Thanksgiving}?""}]",How many countries celebrate thanksgiving?
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA8z,"[{""text""=>""When will {Ramadan} happen this year?""}]",When will ramadan happen this year?
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA9-,"[{""text""=>""Will we have school on {Memorial Day}?""}]",Will we have school on memorial day?
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA90,"[{""text""=>""Our family likes to celebrate the {Chinese New Year}.""}]",Our family likes to celebrate the chinese new year.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA91,"[{""text""=>""We stay up late on {New Year's Eve}.""}]",We stay up late on new year's eve.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA92,"[{""text""=>""Why do some people decorate eggs on {Easter}?""}]",Why do some people decorate eggs on easter?
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA93,"[{""text""=>""My uncle still dresses up for {Halloween}.""}]",My uncle still dresses up for halloween.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA94,"[{""text""=>""When is {Columbus Day}?""}]",When is columbus day?
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA95,"[{""text""=>""Some Irregular Nouns: People try to celebrate {Christmas} in July as well.""}]",Some people try to celebrate christmas in July as well.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA96,"[{""text""=>""We sing {Christmas} carols every year.""}]",We sing christmas carols every year.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA97,"[{""text""=>""My birthday is on {St. Patrick's Day}.""}]",My birthday is on st. patrick's day.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA98,"[{""text""=>""My favorite holiday is {Halloween}.""}]",My favorite holiday is halloween.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA99,"[{""text""=>""My parents' favorite day is {Labor Day} because they don't go to work.""}]",My parents' favorite day is labor day because they don't go to work.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA9A,"[{""text""=>""My friend invited me to his {Christmas} party.""}]",My friend invited me to his <u>Christmas / christmas</u> party.
Capitalize Holidays,"2.2a. Capitalize Holidays, Product Names, and Geographic Names",Jzw0qjK-hugkBcgfA9B,"[{""text""=>""Are you planning anything special for {Halloween}?""}]",Are you planning anything special for <u>halloween/Halloween</u>?
Capitalize Names of People,1.2a. Capitalize Dates and Names of People,Jzw0qjK-hugkBcgfA9D,"[{""text""=>""{Beau} plays the trumpet.""}]",beau plays the trumpet.
